id,age_limit,pegi_tags
1105420,null,
736220,null,
395180,m,Intense| Violence| BloodStrong| Language
380600,null,
375480,null,
400,null,
362890,null,
305620,m,Violence| BloodLanguage
253230,m,Fantasy| Violence| Alcohol| and| Tobacco| Reference
787480,m,Violence| Blood| Suggestive| Themes| Use| of| Tobacco
933110,m,Violence| Mild| Blood| Interactive| Elements| Users| Interact
1401860,m,Blood| Drug| Reference| Strong| Language| Violence
718560,m,Mild| Violence| Mild| Language| Use| of| Tobacco| Users| Interact
304050,m,Fantasy| Violence
894940,null,
288470,m,"Blood| and| Gore,| Language,| Sexual| Content,| Use| of| Alcohol,| Violence"
269950,null,
604240,null,
383150,m,Intense| Violence| Blood| and| Gore| Sexual| Themes| Strong| Language| Use| of| Drugs| and| Alcohol
201270,m,Language| Sexual| Themes| Violence
1369370,null,
1150190,m,"Mild| Language,| Mild| Blood,| Suggestive| Themes,| Violence| Online| Interactions| Not| Rated| by| the| ESRB"
413420,null,
460930,m,Blood| and| Gore| Intense| Violence| Partial| Nudity| Sexual| Themes| Strong| Language| Use| of| Drugs
17390,m,Comic| Mischief| Fantasy| Violence| Animated| Blood| Online| Interactions| Not| Rated| by| the| ESRB.
1222700,m,Intense| Violence| BloodSexual| Content| NudityStrong| Language| Interactive| Elements| Users| Interact
1324970,m,Blood| and| Gore| Intense| Violence| Strong| Language
382560,null,
204360,m,Cartoon| Violence| Animated| Blood
1361280,null,
211820,m,Alcohol| Reference| Crude| Humor| Fantasy| Violence| Mild| Blood
715560,null,
1238840,m,Blood| Strong| Language| Violence
475150,m,Violence| Suggestive| Themes
1196630,null,
654890,null,
633230,m,Cartoon| Violence| Mild| Language| Users| Interact| In-Game| Purchases
960990,m,"Blood,| Intense| Violence,| Sexual| Content,| Strong| Language,| Use| of| Drugs| and| Alcohol"
628670,null,
1126050,null,
582160,m,"Blood| &| gore,| drug| reference,| intense| violence,| nudity,| sexual| content,| strong| language,| alcohol| usage"
1142100,m,Cartoon| Violence| Mild| Suggestive| Themes
678960,m,Blood| Partial| Nudity| ViolenceInteractive| Elements| Users| Interact| In-game| Purchases
372000,m,No| Descriptors
1119700,null,
732690,null,
638970,m,Blood| Intense| Violence| Sexual| Content| Strong| Language| Use| of| Alcohol
1097840,m,Blood| and| Gore| Intense| Violence| Strong| Language| Interactive| Elements| In-Game| Purchases| Users| Interact
329070,null,
1196310,null,
1101190,m,Fantasy| Violence| Alcohol| Reference| Interactive| Elements| Users| Interact
1211630,null,
424030,null,
692850,m,Blood| ViolencePartial| Nudity
667970,null,
1282590,m,Interactive| Elements| In-game| Purchases
1233260,m,Alcohol| Reference| Fantasy| Violence| Mild| Language| Suggestive| Themes
254700,m,Blood| and| Gore| Intense| Violence| Language
641990,null,
221040,m,"17+:| Blood| and| Gore,| Intense| Violence,| Nudity,| Suggestive| Themes,| Strong| Language"
21690,m,Blood| and| Gore| Intense| Violence| Strong| Language
715194,null,
1250650,null,
1349230,null,
492720,m,Drug| Reference| Mild| Language| ViolenceInteractive| Elements| In-Game| Purchases| Users| Interact
571740,null,
528230,null,
1121560,m,Alcohol| Reference| Fantasy| Violence| Mild| Language| Mild| Suggestive| Themes
834910,null,
1066780,null,
105450,m,Violence| Blood
1233880,m,Animated| Blood| Drug| Reference| Fantasy| Violence| LanguageSuggestive| Themes| Interactive| Elements| In-Game| Purchases
644930,null,
704850,null,
221380,m,"Blood,Violence"
239030,null,
488790,m,Blood| and| Gore| Mature| Humor| NuditySexual| Content| Strong| Language| Use| of| Drugs| Violence
682990,null,
1150590,null,
237630,m,Mild| Cartoon| Violence
801860,null,
537180,null,
774361,null,
10180,m,Blood| Drug| Reference| Intense| Violence| Language
644830,null,
240720,null,
373420,m,Blood| and| Gore| Violence
244450,null,
287700,m,Blood| and| Gore| Intense| Violence| Sexual| Violence| Strong| Language
544750,m,Blood| Mild| Language| Partial| Nudity| ViolenceIn-Game| Purchases| Users| Interact
979110,null,
1330040,m,Blood| Language| Violence
464920,m,"Alcohol| Reference,| Fantasy| Violence,| Mild| Language"
897670,null,
1079800,null,
1017900,m,Blood| Mild| Violence| Interactive| Elements| Users| Interact
24200,m,Mild| Blood| Mild| Language| Mild| Suggestive| Themes| ViolenceUsers| Interact| In-Game| Purchases
1158100,null,
960170,null,
32470,m,Fantasy| Violence
1021790,m,Intense| Violence| BloodStrong| Language
314160,null,
899770,null,
646910,m,Lyrics
397460,m,Violent| References| Sexual| Themes| Drug| Reference| Mild| Language| Crude| Humor
1118200,null,
1135280,null,
509980,null,
810040,null,
1106750,null,
17480,m,Blood| Mild| Language| Mild| Suggestive| Themes| ViolenceOnline| Interactions| Not| Rated| by| the| ESRB.
411300,m,Blood| Strong| Language| Suggestive| Themes| Violence
480490,m,"Blood,| Language,| Use| of| Alcohol,| Violence"
291650,m,Blood| Sexual| Themes| Strong| Language| Violence
387020,m,Fantasy| Violence
1238000,m,Blood| NudityStrong| Language| Strong| Sexual| Content| Violence
547502,null,
642280,null,
22320,m,Blood| Violence
1284410,m,Language| Crude| Humor| Use| of| Alcohol| ViolenceSuggestive| Themes| Blood| and| Gore| Interactive| Elements| Users| Interact
274500,null,
751780,m,Crude| Humor| Fantasy| Violence| Blood
233450,m,Violence| BloodPartial| Nudity| Sexual| Content| Strong| Language
274520,null,
675010,null,
591460,null,
1147100,null,
1016920,null,
311290,m,Blood| and| Gore| Mild| Sexual| Themes| Strong| Language| Violence
329110,m,Violence| Blood
562810,null,
240,m,Blood| Intense| Violence
489520,m,Moderate| violence
1158940,null,
427290,null,
704270,null,
108600,null,
919640,null,
1291340,null,
909320,null,
803600,m,Alcohol| Reference| Fantasy| Violence| LanguageSuggestive| Themes
22370,m,Blood| and| Gore| Intense| Violence| Sexual| Themes| Strong| Language| Use| of| Drugs
1159060,m,Language| Mild| Blood| Violence
313120,null,
383870,null,
311690,m,Fantasy| Violence| BloodMild| Language| Use| of| Tobacco
960910,m,"Blood,| Intense| Violence,| Nudity,| Sexual| Content,| Strong| Language,| Use| of| Drugs"
476600,m,Blood| and| Gore| Intense| Violence| Strong| Language
612880,m,Blood| and| Gore| Intense| Violence| Partial| Nudity| Sexual| Content| Strong| Language| Use| of| Drugs
206480,m,Violence| BloodAlcohol| Reference| Suggestive| Themes
420290,null,
1173900,null,
494840,null,
311310,null,
1292040,null,
535930,m,"Animated| blood,| Crude| Humor| Interactive| Elements| Users| Interact"
261640,m,"Blood,| Language,| Sexual| Themes,| Violence"
630100,null,
339600,null,
617870,m,"Alcohol| Reference,| Blood,| Mild| Language,| Mild| Suggestive| Themes,| Violence"
503940,m,Alcohol| Reference| Mild| Language| Violent| References| Use| of| Tobacco
1209120,m,"Alcohol| Reference,| Blood,| Mild| Language,| Mild| Suggestive| Themes,| Violence"
108200,null,
392160,null,
438740,m,Intense| Violence| Blood| and| Gore| Suggestive| Themes| Strong| Language
48700,null,
1150640,m,Fantasy| Violence| Mild| Blood| Partial| Nudity
335300,m,"Blood| and| Gore,| Mild| Language,| Partial| Nudity,| Violence"
593380,m,Blood| Use| of| Tobacco| Violence
349730,null,
752590,null,
8980,m,Blood| and| Gore| Intense| Violence| Mature| Humor| Strong| Language
307960,null,
821250,null,
674500,null,
924980,m,Fantasy| Violence| Suggestive| Themes
227940,null,
285920,null,
418030,null,
219740,null,
816020,m,Mild| Blood| Mild| Language| Suggestive| Themes| ViolenceInteractive| Elements| Users| Interact| In-Game| Purchases
530711,m,Blood| and| Gore| Intense| Violence| Language
1283090,null,
1238060,m,Blood| and| Gore| Intense| Violence| Strong| Language
1007040,null,
927380,m,Blood| Intense| Violence| Sexual| Themes| Strong| Language| Use| of| Alcohol
4700,m,Alcohol| and| Tobacco| Reference| BloodMild| Language| Sexual| Themes| Violence
1240210,null,
312660,null,
47810,m,Blood| Intense| Violence| LanguagePartial| Nudity| Sexual| Content
913740,null,
228280,m,Animated| Blood| Mild| Language| Use| of| Alcohol| and| Tobacco
357310,m,Violence
1282210,null,
893850,null,
386940,null,
582600,m,Blood| and| Gore| Intense| Violence| Language
1282690,m,Blood| Strong| Language| Violence
1238440,m,Mild| Blood| Mild| Violence| Crude| Humor
1283091,null,
800270,null,
411950,null,
331670,m,Fantasy| Violence| Sexual| Themes| Drug| Reference| Mild| Language| Crude| Humor
341800,null,
293760,null,
246900,null,
429050,null,
991270,m,Blood| Fantasy| Violence| LanguageSuggestive| Themes| Use| of| Alcohol| Use| of| Tobacco
1353060,null,
653530,null,
844870,null,
441340,m,Drug| Reference| Fantasy| Violence
1052990,null,
12210,m,Blood| Intense| Violence| Partial| Nudity| Strong| Language| Strong| Sexual| Content| Use| of| Drugs| and| Alcohol
578620,null,
585410,null,
835670,m,"Alcohol| Reference,| Blood,| Mild| Language,| Mild| Suggestive| Themes,| Violence"
401920,null,
383180,m,Intense| Violence| Blood| and| Gore| Sexual| Themes| Strong| Language| Use| of| Drugs| and| Alcohol
495910,null,
1179680,null,
553280,m,Fantasy| Violence| Interactive| Elements| Users| Interact
573100,null,
363890,null,
1238020,m,Blood| Partial| Nudity| Sexual| Content| Strong| Language| Violence
1313860,null,
777130,null,
339610,null,
339340,m,Intense| Violence| Blood| and| Gore
702320,null,
972370,null,
